NUM,MNEMONICO,OPCODE,Ciclo,Byte
1,aba,-- ,-- ,-- 
2,abx,-- ,-- ,-- 
3,aby,-- ,-- ,-- 
4,adca,18 A9,5,3
5,adcb,18 E9,5,3
6,adda,18 AB,5,3
7,addb,18 EB,5,3
8,addd,18 E3,7,3
9,anda,18 A4,5,3
10,andb,18 E4,5,3
11,asl,18 68,7,3
12,asla,-- ,-- ,-- 
13,aslb,-- ,-- ,-- 
14,asld,-- ,-- ,-- 
15,asr,18 67,7,3
16,asra,-- ,-- ,-- 
17,asrb,-- ,-- ,-- 
18,bcc,-- ,-- ,-- 
19,bclr,18 1D,8,4
20,bcs,-- ,-- ,-- 
21,beq,-- ,-- ,-- 
22,bge,-- ,-- ,-- 
23,bgt,-- ,-- ,-- 
24,bhi,-- ,-- ,-- 
25,bhs,-- ,-- ,-- 
26,bita,18 A5,5,3
27,bitb,18 E5,5,3
28,ble,-- ,-- ,-- 
29,blo,-- ,-- ,-- 
30,bls,-- ,-- ,-- 
31,blt,-- ,-- ,-- 
32,bmi,-- ,-- ,-- 
33,bne,-- ,-- ,-- 
34,bpl,-- ,-- ,-- 
35,bra,-- ,-- ,-- 
36,brclr,18 1F,8,5
37,brn,-- ,-- ,-- 
38,brset,18 1E,8,5
39,bset,18 1C,8,4
40,bsr,-- ,-- ,-- 
41,bvc,-- ,-- ,-- 
42,bvs,-- ,-- ,-- 
43,cba,-- ,-- ,-- 
44,clc,-- ,-- ,-- 
45,cli,-- ,-- ,-- 
46,clr,18 6F,7,3
47,clra,-- ,-- ,-- 
48,clrb,-- ,-- ,-- 
49,clv,-- ,-- ,-- 
50,cmpa,18 A1,5,3
51,cmpb,18 E1,5,3
52,com,18 63,7,3
53,coma,-- ,-- ,-- 
54,comb,-- ,-- ,-- 
55,cpd,CD A3,7,3
56,cpx,CD AC,7,3
57,cpy,18 AC,7,3
58,daa,-- ,-- ,-- 
59,dec,18 6A,7,3
60,deca,-- ,-- ,-- 
61,decb,-- ,-- ,-- 
62,des,-- ,-- ,-- 
63,dex,-- ,-- ,-- 
64,dey,-- ,-- ,-- 
65,eora,18 A8,5,3
66,eorb,18 E8,5,3
67,fdiv,-- ,-- ,-- 
68,idiv,-- ,-- ,-- 
69,inc,18 6C,7,3
70,inca,-- ,-- ,-- 
71,incb,-- ,-- ,-- 
72,ins,-- ,-- ,-- 
73,inx,-- ,-- ,-- 
74,iny,-- ,-- ,-- 
75,jmp,18 6E,4,3
76,jsr,18 AD,7,3
77,ldaa,18 A6,5,3
78,ldab,18 E6,5,3
79,ldd,18 EC,6,3
80,lds,18 AE,6,3
81,ldx,CD EE,6,3
82,ldy,18 EE,6,3
83,lsl,18 68,7,3
84,lsla,-- ,-- ,-- 
85,lslb,-- ,-- ,-- 
86,lsld,-- ,-- ,-- 
87,lsr,18 64,7,3
88,lsra,-- ,-- ,-- 
89,lsrb,-- ,-- ,-- 
90,lsrd,-- ,-- ,-- 
91,mul,-- ,-- ,-- 
92,neg,18 60,7,3
93,nega,-- ,-- ,-- 
94,negb,-- ,-- ,-- 
95,nop,-- ,-- ,-- 
96,oraa,18 AA,5,3
97,orab,18 EA,5,3
98,psha,-- ,-- ,-- 
99,pshb,-- ,-- ,-- 
100,pshx,-- ,-- ,-- 
101,pshy,-- ,-- ,-- 
102,pula,-- ,-- ,-- 
103,pulb,-- ,-- ,-- 
104,pulx,-- ,-- ,-- 
105,puly,-- ,-- ,-- 
106,rol,18 69,7,3
107,rola,-- ,-- ,-- 
108,rolb,-- ,-- ,-- 
109,ror,18 66,7,3
110,rora,-- ,-- ,-- 
111,rorb,-- ,-- ,-- 
112,rti,-- ,-- ,-- 
113,rts,-- ,-- ,-- 
114,sba,-- ,-- ,-- 
115,sbca,18 A2,5,3
116,sbcb,18 E2,5,3
117,sec,-- ,-- ,-- 
118,sei,-- ,-- ,-- 
119,sev,-- ,-- ,-- 
120,staa,18A 7,5,3
121,stab,18 E7,5,3
122,std,18 ED,6,3
123,stop,-- ,-- ,-- 
124,sts,18 AF,6,3
125,stx,CD EF,6,3
126,sty,18 EF,6,3
127,suba,18 A0,5,3
128,subb,18 E0,5,3
129,subd,18 A3,7,3
130,swi,-- ,-- ,-- 
131,tab,-- ,-- ,-- 
132,tap,-- ,-- ,-- 
133,tba,-- ,-- ,-- 
134,tets,-- ,-- ,-- 
135,tpa,-- ,-- ,-- 
136,tst,18 6D,7,3
137,tsta,-- ,-- ,-- 
138,tstb,-- ,-- ,-- 
139,tsx,-- ,-- ,-- 
140,tsy,-- ,-- ,-- 
141,txs,-- ,-- ,-- 
142,tys,-- ,-- ,-- 
143,wai,-- ,-- ,-- 
144,xgdx,-- ,-- ,-- 
145,xgdy,-- ,-- ,-- 
