NUM,MNEMÓNICO,OPCODE,Ciclo,Byte
1,aba,1B,2,1
2,abx,3A,3,1
3,aby,18 3A,4,2
4,adca,-- ,-- ,-- 
5,adcb,-- ,-- ,-- 
6,adda,-- ,-- ,-- 
7,addb,-- ,-- ,-- 
8,addd,-- ,-- ,-- 
9,anda,-- ,-- ,-- 
10,andb,-- ,-- ,-- 
11,asl,-- ,-- ,-- 
12,asla,48,2,1
13,aslb,58,2,1
14,asld,5,3,1
15,asr,-- ,-- ,-- 
16,asra,47,2,1
17,asrb,57,2,1
18,bcc,-- ,-- ,-- 
19,bclr,-- ,-- ,-- 
20,bcs,-- ,-- ,-- 
21,beq,-- ,-- ,-- 
22,bge,-- ,-- ,-- 
23,bgt,-- ,-- ,-- 
24,bhi,-- ,-- ,-- 
25,bhs,-- ,-- ,-- 
26,bita,-- ,-- ,-- 
27,bitb,-- ,-- ,-- 
28,ble,-- ,-- ,-- 
29,blo,-- ,-- ,-- 
30,bls,-- ,-- ,-- 
31,blt,-- ,-- ,-- 
32,bmi,-- ,-- ,-- 
33,bne,-- ,-- ,-- 
34,bpl,-- ,-- ,-- 
35,bra,-- ,-- ,-- 
36,brclr,-- ,-- ,-- 
37,brn,-- ,-- ,-- 
38,brset,-- ,-- ,-- 
39,bset,-- ,-- ,-- 
40,bsr,-- ,-- ,-- 
41,bvc,-- ,-- ,-- 
42,bvs,-- ,-- ,-- 
43,cba,11,2,1
44,clc,0C,2,1
45,cli,0E,2,1
46,clr,-- ,-- ,-- 
47,clra,4F,2,1
48,clrb,5F,2,1
49,clv,0A,2,1
50,cmpa,-- ,-- ,-- 
51,cmpb,-- ,-- ,-- 
52,com,-- ,-- ,-- 
53,coma,43,2,1
54,comb,53,2,1
55,cpd,-- ,-- ,-- 
56,cpx,-- ,-- ,-- 
57,cpy,-- ,-- ,-- 
58,daa,19,2,1
59,dec,-- ,-- ,-- 
60,deca,4A,2,1
61,decb,5A,2,1
62,des,34,3,1
63,dex,0 9,3,1
64,dey,18 09,4,2
65,eora,-- ,-- ,-- 
66,eorb,-- ,-- ,-- 
67,fdiv,0 3,41,1
68,idiv,0 2,41,1
69,inc,-- ,-- ,-- 
70,inca,4C,2,1
71,incb,5C,2,1
72,ins,31,3,1
73,inx,0 8,3,1
74,iny,18 08,4,2
75,jmp,-- ,-- ,-- 
76,jsr,-- ,-- ,-- 
77,ldaa,-- ,-- ,-- 
78,ldab,-- ,-- ,-- 
79,ldd,-- ,-- ,-- 
80,lds,-- ,-- ,-- 
81,ldx,-- ,-- ,-- 
82,ldy,-- ,-- ,-- 
83,lsl,-- ,-- ,-- 
84,lsla,48,2,1
85,lslb,58,2,1
86,lsld,0 5,3,1
87,lsr,-- ,-- ,-- 
88,lsra,44,2,1
89,lsrb,54,2,1
90,lsrd,0 4,3,1
91,mul,3D,10,1
92,neg,-- ,-- ,-- 
93,nega,40,2,1
94,negb,50,2,1
95,nop,0 1,2,1
96,oraa,-- ,-- ,-- 
97,orab,-- ,-- ,-- 
98,psha,36,3,1
99,pshb,37,3,1
100,pshx,3C,4,1
101,pshy,18 3C,5,2
102,pula,32,4,1
103,pulb,33,4,1
104,pulx,38,5,1
105,puly,18 38,6,2
106,rol,-- ,-- ,-- 
107,rola,49,2,1
108,rolb,59,2,1
109,ror,-- ,-- ,-- 
110,rora,46,2,1
111,rorb,56,2,1
112,rti,3B,12,1
113,rts,39,5,1
114,sba,10,2,1
115,sbca,-- ,-- ,-- 
116,sbcb,-- ,-- ,-- 
117,sec,OD,2,1
118,sei,OF,2,1
119,sev,OB,2,1
120,staa,-- ,-- ,-- 
121,stab,-- ,-- ,-- 
122,std,-- ,-- ,-- 
123,stop,CF,2,1
124,sts,-- ,-- ,-- 
125,stx,-- ,-- ,-- 
126,sty,-- ,-- ,-- 
127,suba,-- ,-- ,-- 
128,subb,-- ,-- ,-- 
129,subd,-- ,-- ,-- 
130,swi,3F,14,1
131,tab,16,2,1
132,tap,0 6,2,1
133,tba,17,2,1
134,tets,0 0,1,**
135,tpa,0 7,2,1
136,tst,-- ,-- ,-- 
137,tsta,4D,2,1
138,tstb,5D,2,1
139,tsx,30,3,1
140,tsy,18 30,4,2
141,txs,35,3,1
142,tys,18 35,4,2
143,wai,3E,***,1
144,xgdx,8F,3,1
145,xgdy,18 8F,4,2
